Name,AccountNumber,Phone,AnnualRevenue,External_Id__c
"Hansen, Bosco and Harvey",99-237-1770,4042673693,10000,A938
Brakus-Wolf,83-297-7123,6525219057,9999,A939
Rutherford Inc,06-275-9412,8585302752,10000,A940
"Steuber, Mann and Herman",18-649-2456,6746975215,9999,A941
Howell Group,48-347-8434,6455101752,10000,A942
"Glover, Leffler and Wilderman",47-573-1330,5488564690,9999,A943
"Gerhold, Stokes and Mayer",47-227-4048,7305195814,10000,A944
Torp-Mueller,72-880-4285,9499132005,10000,A945
Schiller-Pouros,27-870-1687,8912384575,10000,A946
Lakin-Schamberger,11-208-0196,9633315431,10000,A947
"Simonis, Robel and Reynolds",76-578-9016,5613778672,9999,A948
Schultz LLC,47-155-7193,2912930092,9999,A949
Hintz and Sons,02-924-8113,2769345671,9999,A950
Collins Inc,58-280-0590,3941673510,10000,A951
Kreiger-Ryan,00-771-3613,6324328164,9999,A952
Powlowski LLC,99-907-1620,8598013896,9999,A953
"Roberts, D'Amore and Brown",14-539-0039,6151319612,10000,A954
Schuster-Shields,61-418-5293,4488630049,9999,A955
Crist-Lebsack,20-366-1672,3924551710,9999,A956
"Brakus, Bergstrom and Batz",46-914-8505,3145797310,10000,A957
Mueller-Wyman,31-288-8749,8534734362,10000,A958
Tillman-Franecki,20-932-6780,9714676673,10000,A959
"Jacobson, Hane and Blick",75-000-4561,7492477865,9999,A960
McGlynn-Collier,38-586-7541,8576082714,10000,A961
Hauck and Sons,44-839-8662,7958544990,10000,A962
Medhurst Group,71-448-1355,3025021128,9999,A963
Pfeffer Group,27-878-3179,5322467564,9999,A964
"Witting, Lesch and Streich",06-530-6981,4239854546,9999,A965
Steuber-Nicolas,44-340-4873,3026458869,10000,A966
Hudson-Dietrich,77-611-7422,6985130739,10000,A967
"Flatley, Rodriguez and Senger",95-269-6440,9086642346,9999,A968
Reilly LLC,97-153-6092,6214919263,9999,A969
"Bruen, Hettinger and Schowalter",77-924-0214,2516111636,9999,A970
Prosacco-Daugherty,75-552-1070,6134215352,10000,A971
Cormier Group,59-886-3445,7281713389,10000,A972
"Dach, Ondricka and Runolfsdottir",39-409-6710,9718400690,10000,A973
"Lynch, Jenkins and Schimmel",01-149-5131,1484548996,9999,A974
Johns-Reilly,27-173-0090,6053103606,9999,A975
Roob-Considine,56-078-5308,1639080513,10000,A976
"Johnson, Gerhold and Leuschke",95-723-4463,7982470039,10000,A977
Beahan-Dicki,12-802-0565,6464278915,9999,A978
D'Amore Inc,03-114-0853,3957176063,9999,A979
Satterfield Inc,82-649-0999,7131398168,10000,A980
Lesch Group,52-321-6185,2697657331,9999,A981
O'Conner-Bailey,78-193-9029,7618361490,10000,A982
"Abshire, Jones and Ernser",19-026-4796,7183295047,10000,A983
Stanton-Beier,80-416-1518,6362404720,10000,A984
Gleason-Schowalter,55-678-1919,7988359828,10000,A985
Mante and Sons,88-028-7426,7061390425,10000,A986
Cummings and Sons,71-241-2839,1075729431,9999,A987
Price-Moen,53-830-4688,1867854920,9999,A988
"White, Quigley and Homenick",67-060-6868,6263577040,9999,A989
Aufderhar-Spencer,39-812-0059,9048742538,9999,A990
Stokes-Waelchi,70-128-8738,3394939788,10000,A991
Wilderman-Hilll,54-350-6480,1199624666,9999,A992
Stamm LLC,22-170-3513,8537287664,9999,A993
Oberbrunner-Blanda,67-136-9817,2061818541,9999,A994
Kihn LLC,72-377-9083,2506413110,10000,A995
Auer-Bailey,83-667-7495,8185193502,9999,A996
Cummings Inc,82-910-9253,3284909221,9999,A997
Powlowski and Sons,89-226-7708,2019928261,9999,A998
Fritsch LLC,54-557-4602,8713998304,10000,A999
VonRueden-Sipes,44-850-7505,5876186002,10000,A1000
